map_name,scenario,threads,mapsize,pinning,n_samples,ops_per_sec_mean,ops_per_sec_std,ops_per_sec_se,ops_per_sec_ci95_low,ops_per_sec_ci95_high,latency_mean_ns,latency_std_ns,latency_ci95_low,latency_ci95_high,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,peak_rss_kb,bytes_per_entry
dashmap,read_majority_99,2,100000,spread,40,95551407.04,213075.74,33690.23,95485374.18,95617439.89,44.60,1.11,44.26,44.95,43,54,56,70,5294,54.21
dashmap,read_majority_99,4,10000000,compact,40,38137740.78,426310.88,67405.67,38005625.67,38269855.89,202.02,8.16,199.49,204.54,180,263,306,558,282004,28.85
dashmap,read_majority_99,4,10000000,spread,40,38389304.60,178239.40,28182.12,38334067.64,38444541.56,201.86,7.95,199.39,204.32,180,264,303,556,281904,28.84
dashmap,read_majority_99,4,1000000,compact,40,79901437.86,859478.45,135895.48,79635082.72,80167792.99,94.16,6.33,92.20,96.12,88,130,156,204,38140,38.87
dashmap,read_majority_99,4,1000000,spread,40,80579226.16,808151.86,127780.03,80328777.31,80829675.02,94.14,7.31,91.87,96.40,88,129,154,204,38272,38.92
dashmap,read_majority_99,4,100000,compact,40,106964139.84,470546.68,74399.96,106818315.91,107109963.77,71.75,1.29,71.35,72.15,72,107,117,156,5340,54.68
dashmap,read_majority_99,4,100000,spread,40,107307097.98,302599.56,47845.19,107213321.40,107400874.55,71.92,1.87,71.34,72.50,72,107,118,157,5340,54.68
dashmap,read_majority_99,8,10000000,compact,40,68632111.62,819639.21,129596.34,68378102.79,68886120.44,221.94,14.50,217.44,226.43,196,290,324,550,281872,28.85
dashmap,read_majority_99,8,10000000,spread,40,68634910.16,248295.45,39258.96,68557962.60,68711857.71,223.27,12.44,219.41,227.12,197,292,325,550,282000,28.85
dashmap,read_majority_99,8,1000000,compact,40,131991935.60,1582134.98,250157.51,131501626.89,132482244.31,110.55,5.85,108.74,112.36,100,154,178,242,38312,38.94
dashmap,read_majority_99,8,1000000,spread,40,132223561.82,1044915.87,165215.71,131899739.04,132547384.60,109.95,4.35,108.60,111.30,101,156,178,240,38252,38.95
dashmap,read_majority_99,8,100000,compact,40,163204981.48,1140532.95,180334.09,162851526.66,163558436.31,91.21,1.24,90.82,91.59,85,135,158,228,5388,55.17
dashmap,read_majority_99,8,100000,spread,40,163023880.56,294949.03,46635.54,162932474.91,163115286.21,91.72,2.60,90.91,92.53,85,136,157,222,5420,55.50
dashmap,read_only,16,10000000,compact,40,124559808.45,1242382.54,196437.93,124174790.11,124944826.79,264.04,4.02,262.80,265.29,242,376,451,685,281888,28.87
dashmap,read_only,16,10000000,spread,40,124102368.42,4499941.88,711503.28,122707821.98,125496914.85,267.99,8.03,265.50,270.47,242,378,459,692,282008,28.86
dashmap,read_only,16,1000000,compact,40,177206508.69,3540230.60,559759.61,176109379.86,178303637.52,145.23,2.83,144.35,146.10,129,220,254,368,38280,39.05
